Episode,Score,Total Reward,Time Alive,loss,Epsilon,Replay Buffer Size,Train Steps
25,0,-96.7,33,"tensor(151.7969, device='cuda:0', grad_fn=<MseLossBackward0>)",0.07147372387,924,67
26,0,-96.9,31,"tensor(193.7004, device='cuda:0', grad_fn=<MseLossBackward0>)",0.07040696961,955,70
27,0,-96.9,31,"tensor(136.6920, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06935613678,986,73
28,0,-96.9,31,"tensor(157.5562, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06832098777,1017,76
29,0,-95.6,44,"tensor(152.1092, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06662995814,1061,81
30,0,-96.9,31,"tensor(154.7564, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06563549768,1092,84
31,0,-96.9,31,"tensor(94.6136, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06465587968,1123,87
32,0,-94.8,52,"tensor(94.0495, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06305556604,1175,92
33,0,-96.9,31,"tensor(137.7026, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06211445383,1206,95
34,0,-96.9,31,"tensor(209.2748, device='cuda:0', grad_fn=<MseLossBackward0>)",0.06118738784,1237,98
35,0,-96.6,34,"tensor(164.6626, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05997278764,1271,102
36,0,-96.9,31,"tensor(258.5497, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05907768629,1302,105
37,0,-96.9,31,"tensor(121.1481, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05819594443,1333,108
38,0,-96.9,31,"tensor(112.4718, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05732736269,1364,111
39,0,-96.9,31,"tensor(93.9039, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05647174463,1395,114
40,0,-96.9,31,"tensor(121.0433, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05562889679,1426,117
41,0,-96.9,31,"tensor(128.6935, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05479862855,1457,120
42,0,-96.7,33,"tensor(48.6489, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05398075217,1490,123
43,0,-96.8,32,"tensor(157.9752, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05290920728,1522,127
44,0,-96.8,32,"tensor(111.3375, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05211953075,1554,130
45,0,-96.9,31,"tensor(160.4285, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05134164024,1585,133
46,0,-96.4,36,"tensor(156.6615, device='cuda:0', grad_fn=<MseLossBackward0>)",0.05032248304,1621,137
47,0,-96.9,31,"tensor(112.8949, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04957141369,1652,140
48,0,-96.8,32,"tensor(93.1190, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04883155414,1684,143
49,0,-96.8,32,"tensor(135.9171, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04810273709,1716,146
50,0,-96.9,31,"tensor(113.5837, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04738479773,1747,149
51,0,-96.9,31,"tensor(107.3783, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0466775737,1778,152
52,0,-96.9,31,"tensor(153.0202, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04598090508,1809,155
53,0,-91.5,85,"tensor(94.8706, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04395266797,1894,164
54,0,-96.9,31,"tensor(138.0473, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04329666891,1925,167
55,0,-95.9,41,"tensor(101.4333, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04243720841,1966,171
56,0,-96.7,33,"tensor(193.8357, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04180382777,1999,174
57,0,-96.4,36,"tensor(118.6424, device='cuda:0', grad_fn=<MseLossBackward0>)",0.04097400091,2035,178
58,0,-91,90,"tensor(78.6282, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03916662045,2125,187
59,0,-96.9,31,"tensor(212.8330, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03858205375,2156,190
60,0,-94.4,56,"tensor(143.4368, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03743896431,2212,196
61,0,-96.8,32,"tensor(90.4051, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03688018309,2244,199
62,0,-96.9,31,"tensor(140.9528, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03632974175,2275,202
63,0,-93,70,"tensor(96.5238, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03507711575,2345,209
64,0,-93.1,69,"tensor(79.9430, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03386767949,2414,216
65,0,-96,40,"tensor(100.5392, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03319538914,2454,220
66,0,-95.7,43,"tensor(114.3599, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03253644408,2497,224
67,0,-92.6,74,"tensor(74.2765, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03125753549,2571,232
68,0,-94.6,54,"tensor(108.0996, device='cuda:0', grad_fn=<MseLossBackward0>)",0.03048387252,2625,237
69,0,-93.3,67,"tensor(85.5585, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02943280831,2692,244
70,0,-88.6,114,"tensor(47.4532, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02785387294,2806,255
71,0,-96,40,"tensor(77.8484, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02730095965,2846,259
72,0,-95.4,46,"tensor(94.0527, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02662522686,2892,264
73,0,-91.8,82,"tensor(88.1413, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02557867023,2974,272
74,0,-94.9,51,"tensor(181.5502, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02494556625,3025,277
75,0,-95.5,45,"tensor(47.9937, device='cuda:0', grad_fn=<MseLossBackward0>)",0.0244503843,3070,281
76,0,-91.9,81,"tensor(92.1544, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02337186754,3151,290
77,0,-94,60,"tensor(73.2396, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02267941775,3211,296
78,0,-95.3,47,"tensor(51.8662, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02222921998,3258,300
79,0,-92.5,75,"tensor(59.2490, device='cuda:0', grad_fn=<MseLossBackward0>)",0.021355457,3333,308
80,0,-92.7,73,"tensor(131.0725, device='cuda:0', grad_fn=<MseLossBackward0>)",0.02061913466,3406,315
81,0,-90.2,98,"tensor(61.3111, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3504,325
82,0,-93.2,68,"tensor(87.5055, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3572,332
83,0,-95.2,48,"tensor(102.6904, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3620,336
84,0,-89.9,101,"tensor(102.3205, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3721,347
85,0,-91.5,85,"tensor(123.3583, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3806,355
86,0,-95.2,48,"tensor(105.2078, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3854,360
87,0,-93.6,64,"tensor(95.9151, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3918,366
88,0,-96.4,36,"tensor(75.8557, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3954,370
89,0,-96.2,38,"tensor(23.2318, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,3992,374
90,0,-192.8,72,"tensor(60.1649, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4064,381
91,0,-95.4,46,"tensor(36.5462, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4110,385
92,0,-89.9,101,"tensor(110.0522, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4211,396
93,0,-92.1,79,"tensor(142.8846, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4290,403
94,0,-88.6,114,"tensor(117.2131, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4404,415
95,0,-95.6,44,"tensor(110.5169, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4448,419
96,0,-92.8,72,"tensor(94.2952, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4520,426
97,0,-88.5,115,"tensor(34.8901, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4635,438
98,0,-93.6,64,"tensor(77.6222, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4699,444
99,0,-96,40,"tensor(72.3848, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4739,448
100,0,-88.4,116,"tensor(34.7840, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4855,460
101,0,-94.8,52,"tensor(98.0371, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4907,465
102,0,-93.6,64,"tensor(88.5665, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,4971,472
103,0,-89.4,106,"tensor(90.6679, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5077,482
104,0,-87.7,123,"tensor(184.6648, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5200,494
105,0,-91.7,83,"tensor(45.2684, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5283,503
106,0,-91.3,87,"tensor(41.8620, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5370,511
107,0,-92,80,"tensor(23.7882, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5450,519
108,0,-190.5,95,"tensor(112.3115, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5545,529
109,0,-88.6,114,"tensor(43.3124, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5659,540
110,0,-88.5,115,"tensor(123.8556, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5774,552
111,0,-89.6,104,"tensor(104.9701, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,5878,562
112,0,-87.2,128,"tensor(61.3967, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6006,575
113,0,-89.7,103,"tensor(66.7836, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6109,585
114,0,-87.9,121,"tensor(9.4911, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6230,597
115,0,-87.8,122,"tensor(55.4474, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6352,610
116,0,-95.4,46,"tensor(134.3605, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6398,614
117,0,-82.9,171,"tensor(53.8872, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6569,631
118,0,-93.6,64,"tensor(57.6376, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6633,638
119,0,-83.8,162,"tensor(115.9360, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6795,654
120,0,-92.9,71,"tensor(39.8417, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6866,661
121,0,-91.1,89,"tensor(9.4863, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,6955,670
122,0,-88.5,115,"tensor(92.1801, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7070,681
123,0,-95.5,45,"tensor(35.0354, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7115,686
124,0,-89.6,104,"tensor(92.5091, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7219,696
125,0,-85.1,149,"tensor(70.3915, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7368,711
126,0,-88.7,113,"tensor(132.7307, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7481,723
127,0,-95.5,45,"tensor(89.4121, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7526,727
128,0,-89.8,102,"tensor(141.3873, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7628,737
129,0,-88.4,116,"tensor(109.4868, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7744,749
130,0,-88.7,113,"tensor(22.0663, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7857,760
131,0,-95.9,41,"tensor(92.7943, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7898,764
132,0,-90.5,95,"tensor(38.6669, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,7993,774
133,0,-91.5,85,"tensor(15.4551, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8078,782
134,0,-90.3,97,"tensor(25.9916, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8175,792
135,0,-91.5,85,"tensor(47.7338, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8260,800
136,0,-92.6,74,"tensor(72.9816, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8334,808
137,0,-92.1,79,"tensor(86.7576, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8413,816
138,0,-188.7,113,"tensor(80.7082, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8526,827
139,0,-92,80,"tensor(44.5835, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8606,835
140,0,-95.9,41,"tensor(81.1778, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8647,839
141,0,-90.3,97,"tensor(29.7150, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8744,849
142,0,-95.9,41,"tensor(19.0224, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8785,853
143,0,-92.5,75,"tensor(26.1134, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8860,860
144,0,-95.9,41,"tensor(20.2203, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8901,865
145,0,-95.9,41,"tensor(37.5202, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8942,869
146,0,-95.9,41,"tensor(83.3892, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,8983,873
147,0,-95.9,41,"tensor(6.8409, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9024,877
148,0,-95.9,41,"tensor(71.1850, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9065,881
149,0,-95.9,41,"tensor(105.6354, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9106,885
150,0,-89.8,102,"tensor(27.3264, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9208,895
151,0,-88.5,115,"tensor(20.3818, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9323,907
152,0,-92.6,74,"tensor(38.2404, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9397,914
153,0,-84.4,156,"tensor(47.1431, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9553,930
154,0,-95.9,41,"tensor(14.7791, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9594,934
155,0,-90,100,"tensor(145.4045, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9694,944
156,0,-85.4,146,"tensor(72.0731, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9840,958
157,0,-89.8,102,"tensor(43.6189, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9942,969
158,0,-95.9,41,"tensor(12.8365, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,9983,973
159,0,-95.9,41,"tensor(77.3834, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,977
160,0,-92.9,71,"tensor(22.2799, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,984
161,0,-95.9,41,"tensor(159.1604, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,988
162,0,-92.9,71,"tensor(142.9501, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,995
163,0,-95.9,41,"tensor(38.8905, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,999
164,0,-95.9,41,"tensor(11.3629, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1003
165,0,-90.5,95,"tensor(48.0233, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1013
166,0,-95.9,41,"tensor(56.4322, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1017
167,0,-95.9,41,"tensor(22.2043, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1021
168,0,-91.3,87,"tensor(30.9717, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1030
169,0,-95.9,41,"tensor(49.1362, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1034
170,0,-92.6,74,"tensor(67.3225, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1041
171,0,-95.9,41,"tensor(82.0422, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1045
172,0,-92.4,76,"tensor(58.0094, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1053
173,0,-95.9,41,"tensor(104.7572, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1057
174,0,-95.9,41,"tensor(12.4847, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1061
175,0,-95.9,41,"tensor(198.5758, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1065
176,0,-92.6,74,"tensor(90.1737, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1073
177,0,-95.9,41,"tensor(77.2318, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1077
178,0,-95.9,41,"tensor(55.7381, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1081
179,0,-95.9,41,"tensor(19.5400, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1085
180,0,-95.9,41,"tensor(20.1784, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1089
181,0,-95.9,41,"tensor(122.8145, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1093
182,0,-95.9,41,"tensor(176.6731, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1097
183,0,-95.9,41,"tensor(30.1523, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1101
184,0,-95.9,41,"tensor(95.9893, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1105
185,0,-95.9,41,"tensor(71.2090, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1110
186,0,-95.9,41,"tensor(74.3257, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1114
187,0,-95.9,41,"tensor(105.5673, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1118
188,0,-95.9,41,"tensor(72.3063, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1122
189,0,-95.9,41,"tensor(48.3184, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1126
190,0,-92,80,"tensor(24.4661, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1134
191,0,-95.9,41,"tensor(68.6518, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1138
192,0,-95.9,41,"tensor(126.9291, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1142
193,0,-95.9,41,"tensor(92.7130, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1146
194,0,-91.8,82,"tensor(92.5225, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1154
195,0,-85.5,145,"tensor(210.7550, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1169
196,0,-88.4,116,"tensor(31.8796, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1181
197,0,-95.9,41,"tensor(52.9434, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1185
198,0,-92.6,74,"tensor(48.7447, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1192
199,0,-95.9,41,"tensor(62.5564, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1196
200,0,-92,80,"tensor(6.4573, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1204
201,0,-92,80,"tensor(103.0603, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1212
202,0,-88.8,112,"tensor(53.4322, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1223
203,0,-95.9,41,"tensor(43.6181, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1227
204,0,-95.9,41,"tensor(195.4231, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1232
205,0,-95.9,41,"tensor(7.3791, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1236
206,0,-95.9,41,"tensor(98.6272, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1240
207,0,-95.9,41,"tensor(151.1946, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1244
208,0,-91,90,"tensor(63.3817, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1253
209,0,-89.9,101,"tensor(117.7718, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1263
210,0,-95.9,41,"tensor(36.1739, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1267
211,0,-82.4,176,"tensor(43.4177, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1285
212,0,-95.9,41,"tensor(119.2890, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1289
213,0,-92.6,74,"tensor(7.9611, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1296
214,0,-95.9,41,"tensor(48.8182, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1300
215,0,-92.4,76,"tensor(100.4497, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1308
216,0,-87.1,129,"tensor(31.2231, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1321
217,0,-90.4,96,"tensor(152.5394, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1330
218,0,-95.9,41,"tensor(67.4501, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1334
219,0,-95.9,41,"tensor(104.9186, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1339
220,0,-95.9,41,"tensor(221.5304, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1343
221,0,-95.9,41,"tensor(131.2812, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1347
222,0,-83.7,163,"tensor(65.2354, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1363
223,0,-95.9,41,"tensor(11.1894, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1367
224,0,-91.2,88,"tensor(71.8430, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1376
225,0,-90,100,"tensor(144.1232, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1386
226,0,-87.3,127,"tensor(120.1728, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1399
227,0,-89.6,104,"tensor(22.7595, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1409
228,0,-88.3,117,"tensor(63.8971, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1421
229,0,-88.4,116,"tensor(46.8828, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1432
230,0,-88.5,115,"tensor(166.0039, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1444
231,0,-89.1,109,"tensor(53.4062, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1455
232,0,-90.1,99,"tensor(35.9780, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1465
233,0,-95.9,41,"tensor(87.0609, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1469
234,0,-82.3,177,"tensor(74.3017, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1486
235,0,-88.6,114,"tensor(12.5027, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1498
236,0,-88.3,117,"tensor(38.5053, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1510
237,0,-88.4,116,"tensor(127.5724, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1521
238,0,-88.3,117,"tensor(169.0445, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1533
239,0,-88.5,115,"tensor(155.7132, device='cuda:0', grad_fn=<MseLossBackward0>)",0.01990820023,10000,1544
